Site_ID,Name,Country,Latitude,Longitude,Elevation,IGBP_class,Climate_class,Climate_group
AR-Lac,La Ciguena Santa Fe,Argentina,-29.26399994,-61.02799988,62.92,GRA,Cfa,SubTropical-Mediterranean
AT-Lan,Langenfeld,Austria,47.06380081,10.96450043,1180,GRA,,Temperate
AT-Leu,Leutasch,Austria,47.37889862,11.16559982,1115,GRA,,Temperate
AT-Neu,Neustift/Stubai Valley,Austria,47.1166687,11.31750011,970,GRA,Cfb,Temperate
AT-Sch,Schlitters,Austria,47.3669014,11.85420036,530,GRA,,Temperate
AU-Cas,Burdekin Delta,Australia,-19.56669998,147.3999939,15,CRO,Aw,Tropical
AU-Ctr,Cape Tribulation,Australia,-16.10309982,145.4470062,80,EBF,Am,Tropical
AU-Da1,Daly River Cleared,Australia,-14.13430023,131.3849945,-999.9,SAV,Aw,Tropical
AU-Da2,Daly River Savanna,Australia,-14.15929985,131.3880005,-999.9,SAV,Aw,Tropical
AU-Fac,Falls Creek,Australia,-36.8669014,147.345993,-999.9,EBF,Cfb,Temperate
AU-Fog,Fogg Dam,Australia,-12.54249954,131.3070068,-999.9,WET,Aw,Tropical
AU-How,Howard Springs,Australia,-12.49429989,131.1519928,-999.9,WSA,Aw,Tropical
AU-Jan,Janina,Australia,-30.07670021,144.1360016,150,OSH,BWh,Dry (arid and semi arid)
AU-Meb,Melbourne (Preston),Australia,-37.73059845,145.0149994,60,URB,Cfb,Temperate
AU-Otw,Otway,Australia,-38.53229904,142.8170013,-999.9,GRA,Cfb,Temperate
AU-Tum,Tumbarumba,Australia,-35.65570068,148.1519928,1200,EBF,Cfb,Temperate
AU-Vir,Virginia Park,Australia,-19.88330078,146.5540009,200,SAV,Aw,Tropical
AU-Wac,Wallaby Creek,Australia,-37.42900085,145.1869965,545,EBF,Cfb,Temperate
BE-Bra,Brasschaat (De Inslag Forest),Belgium,51.30920029,4.520559788,16,MF,Cfb,Temperate
BE-Jal,Jalhay,Belgium,50.56389999,6.073329926,500,MF,Cfb,Temperate
BE-Lon,Lonzee,Belgium,50.55220032,4.744939804,167,CRO,Cfb,Temperate
BE-Vie,Vielsalm,Belgium,50.30550003,5.996829987,450,MF,Cfb,Temperate
BR-Afs,Atlantic Forest Sao Paulo,Brazil,-23.32850075,-45.0931015,-999.9,EBF,Cfa,SubTropical-Mediterranean
BR-Ban,Ecotone Bananal Island,Brazil,-9.824419975,-50.15909958,-999.9,EBF,Aw,Tropical
BR-Bra,Braganca (Para),Brazil,-0.723710001,-48.5080986,25,SAV,Am,Tropical
BR-Cax,Caxiuana Forest-Almeirim,Brazil,-1.719720006,-51.45899963,-999.9,EBF,Af,Tropical
BR-Euc,Eucaliptus Sao Paulo,Brazil,-21.58349991,-47.60229874,-999.9,EBF,Aw,Tropical
BR-Ji1,Rond.- Faz. Nossa Senhora-i Parana-pasture,Brazil,-10.76179981,-62.35720062,306,GRA,Aw,Tropical
