sitename,LAI,LAI_MIN,LAI_MAX
AT-Neu,6.5,6.5,6.5
AU-Fog,-999.9,-999.9,-999.9
AU-How,2.4,2.4,2.4
AU-Tum,2.4,2.4,2.4
AU-Wac,-999.9,-999.9,-999.9
BE-Bra,2.75,2.75,2.75
BE-Jal,-999.9,-999.9,-999.9
BE-Lon,-999.9,-999.9,-999.9
BE-Vie,5.1,5.1,5.1
BR-Ban,5.3,5.3,5.3
BR-Cax,5.5,5,6
BR-Ji1,3.96,3.96,3.96
BR-Ji2,4.89,4.89,4.89
BR-Ma2,5.16,5.16,5.16
BR-Sa1,5.18,5.18,5.18
BR-Sa2,4.91,4.91,4.91
BR-Sa3,5.21,5.21,5.21
BR-Sp1,4.38,4.38,4.38
BW-Ghg,1.1,1.1,1.1
BW-Ghm,0.7,0.7,0.7
BW-Ma1,1.1,0.9,1.3
CA-Ca1,8.4,8.4,8.4
CA-Ca2,1.35,0.5,2.2
CA-Ca3,4.85,3,6.7
CA-Gro,4.3,4.3,4.3
CA-Let,0.803,0.803,0.803
CA-Man,4.2,4.2,4.2
CA-Mer,1.3,1.3,1.3
CA-NS1,5.68,5.68,5.68
CA-NS2,7.8,7.8,7.8
CA-NS3,5.33,5.33,5.33
CA-NS4,-999.9,-999.9,-999.9
CA-NS5,5.49,5.49,5.49
CA-NS6,2.97,2.97,2.97
CA-NS7,1.36,1.36,1.36
CA-Oas,2.1,2.1,2.1
CA-Obs,3.8,3.8,3.8
CA-Ojp,2.6,2.6,2.6
CA-Qcu,0.7675,0.715,0.82
CA-Qfo,3.7,3.7,3.7
CA-SF1,3.4,3.4,3.4
CA-SF2,3,3,3
CA-SF3,1.1,1.1,1.1
CA-SJ1,0.8,0.8,0.8
CA-SJ2,0.35,0.2,0.5
CA-SJ3,2.9,2.9,2.9
CA-TP1,1,1,1
CA-TP2,12.8,12.8,12.8
CA-TP3,5.9,5.9,5.9
CA-TP4,8,8,8
CA-WP1,2.61,2.61,2.61
CA-WP2,1.52,1.52,1.52
CA-WP3,1.09,1.09,1.09
CG-Tch,-999.9,-999.9,-999.9
CH-Oe1,4.85,4.85,4.85
CH-Oe2,-999.9,-999.9,-999.9
CN-Anh,-999.9,-999.9,-999.9
CN-Bed,-999.9,-999.9,-999.9
CN-Cha,5.95,5.8,6.1
CN-Do1,5.13,5.13,5.13
CN-Do2,3.43,3.43,3.43
CN-Do3,1.63,1.63,1.63
CN-Du1,1.2,1.2,1.2
CN-Du2,0.47,0.47,0.47
CN-HaM,-999.9,-999.9,-999.9
CN-Hny,-999.9,-999.9,-999.9
CN-Ku1,0.23,0.23,0.23
CN-Ku2,0.2,0.2,0.2
CN-Xfs,-999.9,-999.9,-999.9
CN-Xi1,0.26,0.26,0.26
CN-Xi2,0.25,0.25,0.25
CZ-BK1,9.8,9.8,9.8
CZ-BK2,3.9,3.9,3.9
CZ-wet,3,3,3
DE-Bay,5.3,5.3,5.3
DE-Geb,-999.9,-999.9,-999.9
DE-Gri,4.93,4.93,4.93
DE-Hai,6.08,6.08,6.08
DE-Har,-999.9,-999.9,-999.9
DE-Kli,-999.9,-999.9,-999.9
DE-Meh,-999.9,-999.9,-999.9
DE-Tha,7.6,7.6,7.6
DE-Wet,-999.9,-999.9,-999.9
DK-Fou,-999.9,-999.9,-999.9
DK-Lva,6.87,6.87,6.87
DK-Ris,-999.9,-999.9,-999.9
DK-Sor,5,5,5
ES-ES1,2.63,2.63,2.63
ES-ES2,3.015,3.015,3.015
ES-LJu,1.45,1.45,1.45
ES-LMa,2,2,2
ES-VDA,1.35,1.35,1.35
FI-Hyy,6.7,6.7,6.7
FI-Kaa,0.7,0.7,0.7
FI-Sii,0.4,0.4,0.4
FI-Sod,1.2,1.2,1.2
FR-Aur,-999.9,-999.9,-999.9
FR-Fon,5.055,5.055,5.055
FR-Gri,-999.9,-999.9,-999.9
FR-Hes,6.7,6.7,6.7
FR-Lam,-999.9,-999.9,-999.9
FR-LBr,3,3,3
FR-Lq1,2.45,2.45,2.45
FR-Lq2,2.28,2.28,2.28
FR-Pue,2.9,2.9,2.9
GF-Guy,-999.9,-999.9,-999.9
HU-Bug,1.5,1.5,1.5
HU-Mat,-999.9,-999.9,-999.9
ID-Pag,5.6,5.6,5.6
IE-Ca1,4.95,4.95,4.95
IE-Dri,-999.9,-999.9,-999.9
IL-Yat,2.5,2.5,2.5
IS-Gun,1.4,1.4,1.4
IT-Amp,2.125,2.125,2.125
IT-BCi,5.8,5.8,5.8
IT-Be2,-999.9,-999.9,-999.9
IT-Bon,-999.9,-999.9,-999.9
IT-Cas,-999.9,-999.9,-999.9
IT-Col,6.1,6.1,6.1
IT-Cpz,3.5,3.5,3.5
IT-Lav,8.1,8.1,8.1
IT-Lec,-999.9,-999.9,-999.9
IT-LMa,-999.9,-999.9,-999.9
IT-Mal,3.9,3.9,3.9
IT-MBo,2.82,2.82,2.82
IT-Noe,3,3,3
IT-Non,1.7,1.7,1.7
IT-Pia,4,4,4
IT-PT1,2,2,2
IT-Ren,5.11,5.11,5.11
IT-Ro1,3.03,3.03,3.03
IT-Ro2,3.91,3.91,3.91
IT-SRo,4.2,4.2,4.2
IT-Vig,-999.9,-999.9,-999.9
JP-Mas,5.45,5.45,5.45
JP-Tak,5.5,5.5,5.5
JP-Tef,7.25,7,7.5
JP-Tom,9.2,9.2,9.2
KR-Hnm,-999.9,-999.9,-999.9
KR-Kw1,-999.9,-999.9,-999.9
NL-Ca1,11.3,11.3,11.3
NL-Ca2,3.34,3.34,3.34
NL-Haa,-999.9,-999.9,-999.9
NL-Hor,-999.9,-999.9,-999.9
NL-Lan,-999.9,-999.9,-999.9
NL-Loo,-999.9,2030,2030
NL-Lut,-999.9,-999.9,-999.9
NL-Mol,5.1,5.1,5.1
PL-wet,-999.9,-999.9,-999.9
PT-Esp,2.77,2.77,2.77
PT-Mi1,0.73,0.73,0.73
PT-Mi2,1.55,1.55,1.55
RU-Che,-999.9,-999.9,-999.9
RU-Cok,-999.9,-999.9,-999.9
RU-Fyo,-999.9,-999.9,-999.9
RU-Ha1,-999.9,-999.9,-999.9
RU-Ha2,-999.9,-999.9,-999.9
RU-Ha3,-999.9,-999.9,-999.9
RU-Zot,-999.9,-999.9,-999.9
SE-Abi,2.6,2.6,2.6
SE-Deg,-999.9,-999.9,-999.9
SE-Faj,1,1,1
SE-Fla,-999.9,-999.9,-999.9
SE-Nor,4.53,4.53,4.53
SE-Sk1,0.5,0.5,0.5
SE-Sk2,3.5,3.5,3.5
SE-St1,2.6,2.6,2.6
SK-Tat,-999.9,-999.9,-999.9
TW-Tar,-999.9,-999.9,-999.9
UK-AMo,-999.9,-999.9,-999.9
UK-EBu,3.9,3.9,3.9
UK-ESa,-999.9,-999.9,-999.9
UK-Gri,7,7,7
UK-Ham,-999.9,-999.9,-999.9
UK-Her,-999.9,-999.9,-999.9
UK-PL3,-999.9,-999.9,-999.9
UK-Tad,-999.9,-999.9,-999.9
US-ARb,3.24949,3.24949,3.24949
US-ARc,2.106,2.106,2.106
US-ARM,2.1,1.3,2.9
US-Atq,-999.9,-999.9,-999.9
US-Aud,1,1,1
US-Bar,3.5,3.5,3.5
US-Bkg,1.6,0.2,3
US-Blo,4.63,4.63,4.63
US-Bn1,3.5,3.5,3.5
US-Bn2,2.5,2.5,2.5
US-Bn3,1.1,1.1,1.1
US-Bo1,5.25,5,5.5
US-Bo2,-999.9,-999.9,-999.9
US-Brw,1.5,1.5,1.5
US-CaV,-999.9,-999.9,-999.9
US-Dk1,-999.9,-999.9,-999.9
US-Dk2,5.6,5.6,5.6
US-Dk3,5.2,5.2,5.2
US-Fmf,1.6,1.6,1.6
US-FPe,2.5,2.5,2.5
US-FR2,2.8,2.8,2.8
US-Fuf,2.3,2.3,2.3
US-Fwf,0.6,0.6,0.6
US-Goo,2,2,2
US-Ha1,5.1971,5.1971,5.1971
US-Ha2,4.4,4.4,4.4
US-Ho1,6.5,6.5,6.5
US-Ho2,-999.9,-999.9,-999.9
US-IB1,-999.9,-999.9,-999.9
US-IB2,-999.9,-999.9,-999.9
US-Ivo,-999.9,-999.9,-999.9
US-KS1,-999.9,-999.9,-999.9
US-KS2,2.5,2.5,2.5
US-Los,4.24,4.24,4.24
US-LPH,4.5,4.5,4.5
US-Me1,-999.9,-999.9,-999.9
US-Me2,2.8,2.8,2.8
US-Me3,0.52,0.52,0.52
US-Me4,2.1,2.1,2.1
US-MMS,4.62,4.62,4.62
US-MOz,4.2,4.2,4.2
US-NC1,1.5,1.5,1.5
US-NC2,3,3,3
US-Ne1,6.3,6.3,6.3
US-Ne2,6.05,5.7,6.4
US-Ne3,3.75,3.2,4.3
US-NR1,4.7,3.8,5.6
US-Oho,4,4,4
US-PFa,-999.9,-999.9,-999.9
US-SO2,3,3,3
US-SO3,1.1,1.1,1.1
US-SO4,-999.9,-999.9,-999.9
US-SP1,-999.9,-999.9,-999.9
US-SP2,3.877414,3.877414,3.877414
US-SP3,6.1,6.1,6.1
US-SP4,-999.9,-999.9,-999.9
US-SRM,-999.9,-999.9,-999.9
US-Syv,3.8,3.8,3.8
US-Ton,0.6,0.6,0.6
US-UMB,3.55,3.55,3.55
US-Var,2.5,2.5,2.5
US-WBW,5.75,5.75,5.75
US-WCr,5.3,5.3,5.3
US-Wi0,0.5,0.5,0.5
US-Wi1,3,3,3
US-Wi2,3.2,3.2,3.2
US-Wi4,2.8,2.8,2.8
US-Wi5,0.8,0.8,0.8
US-Wi6,-999.9,-999.9,-999.9
US-Wi7,-999.9,-999.9,-999.9
US-Wi8,1.2,1.2,1.2
US-Wi9,1.5,1.5,1.5
US-Wkg,0.9,0.9,0.9
US-Wrc,11,11,11
VU-Coc,5.65,5.65,5.65
ZA-Kru,1.7,1.7,1.7
