sitename,longname,country, Years Of Data,AG_NPP,ASA,CLIMATE,,,DEP_N,,,ELEV,FOL_N,HEIGHTC,IGBP,LAI,LAI_U,LAT,LMA,LONG,MaxSA,MinSA,PRECIP,TA,,,YEAR_PLANTED,CLAY_PERC,SAND_PERC,SILT_PERC,SOIL_BD,SOIL_C,,SOIL_PH,,,SOIL_TEXTURE,SOIL_THICKNESS,CLAY_PERC,SAND_PERC,SILT_PERC,SOIL_BD,SOIL_C,,SOIL_PH,,,SOIL_TEXTURE,SOIL_THICKNESS,SOIL_BD,SOIL_C,,SOIL_PH,,SOIL_THICKNESS,AG_BIOMASS,SOIL_C,,SOIL_DEPTH,SOIL_TYPE,SOIL_WATER_CAP
,,,Site Years in Synthesis Dataset,Aboveground net primary productivity,Average stand age,Climate group,Climate Koeppen classification,,Foliage nitrogen deposition (dry),Foliage nitrogen deposition (total),Foliage nitrogen deposition (wet),Elevation (text),Foliage nitrogen concentration,Canopy height (text),IGBP Class,Leaf Area Index,Understory Leaf Area Index,Latitude,Leaf mass per unit leaf area,Longitude,Maximum stand age,Minimum stand years,Precipitation (local climate),Air Temperature (avg local climate),Air Temperature (max local climate),Air Temperature (min local climate),Year replanted,Clay content,Sand content,Silt content,Soil bulk density,Soil Carbon stock,Soil Carbon stock (%),Soil PH (CaCl2),Soil PH (H2O),Soil PH (KCl),Soil texture,Soil horizon or layer thickness,Clay content,Sand content,Silt content,Soil bulk density,Soil Carbon stock,Soil Carbon stock (%),Soil PH (CaCl2),Soil PH (H2O),Soil PH (KCl),Soil texture,Soil horizon or layer thickness,Soil bulk density,Soil Carbon stock,Soil Carbon stock (mg g-1),Soil PH (CaCl2),Soil PH (H2O),Soil horizon or layer thickness,Aboveground biomass,Soil Carbon stock,Soil Carbon stock (%),Soil depth,Soil type,Soil water holding capacity
,,,(none),(none),(none),_group,_KOEPPEN_406,,_dry,_total,_wet,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),_locclim,_avg_locclim,_max_locclim,_min_locclim,(none),(none),(none),(none),(none),(none),_PERC,_CaCl2,_H2O,_KCL,(none),(none),(none),(none),(none),(none),(none),_PERC,_CaCl2,_H2O,_KCL,(none),(none),(none),(none),_mg_g-1,_CaCl2,_H2O,(none),(none),(none),_PERC,(none),(none),(none)
AT-Neu,Neustift/Stubai Valley,Austria,5,,,Temperate,Cfb,,,20.8,,970,,,GRA,6.5,,47.11667,,11.3175,,,1040.43,6.25,11.09,2.06,,6.7,49.6,43.7,1.03,,,,5.33,,,0.02,5.6,55.3,39.1,1.48,,,,6.12,,,0.29,,,,,,,0.42,4.25,,0.3,Gleyic Fluvisol,
AU-Fog,Fogg Dam,Australia,2,,,Tropical,Aw,,,,,,,,SAV,,,-12.5425,,131.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU-How,Howard Springs,Australia,6,1.1,2-80,Tropical,Aw,,,2,,,8,,WSA,2.4,1.5,-12.4943,190,131.152,60-80,2,1449.35,27.01,32.19,23.25,,15,65,20,1.42,7.6,,5.6,,,,0.2,30,60,10,1.7,7.5,,5.4,,,,1,,,,5.6,,0.01,6.7,15.1,,5,Haplic Ferrasol (FRh),200
AU-Tum,Tumbarumba,Australia,6,,90,Temperate,Cfb,,,0,,1200,1.28,,EBF,2.4,1,-35.6557,200,148.152,90,50,1159.01,10.72,16.5,5.22,,,,,0.78,,6.09088,,,,,0.1,,,,1.2348,14.88,,,,,,0.7,,,,,,,14.775,25.1,,2.7,,240
AU-Wac,Wallaby Creek,Australia,3,,,Temperate,Cfb,,,,,545,,,EBF,,,-37.429,,145.187,,,1105.59,12.76,17.5,6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE-Bra,Brasschaat (De Inslag Forest),Belgium,8,,71-78,Temperate,Cfb,,,,,16,,,MF,2.75,,51.3092,,4.52056,78,71,742.7,10.01,13.72,5.98,1929-1936,6.2,80.8,13,1.15,2.58,,,,,,0.02,4.2,88.9,6.9,1.25,,,,,,,,"pine 3,67  oak   3,88",3.02,,,,,147.5,12.35,,40,umbric regosol,
BE-Jal,Jalhay,Belgium,1,,8,Temperate,Cfb,,,,,470-530,,,MF,,,50.5639,,6.07333,,,1250.47,7.41,10.77,3.92,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dystic Cambisol,
BE-Lon,Lonzee,Belgium,3,,,Temperate,Cfb,,,,,165,,,CRO,,,50.5522,,4.74494,,,843.34,9.44,13.45,5.62,,20,5,70,1.4,4.3,,,,,,0.3,25,5,70,,,,,,,,0.9,Not relevant,Not relevant,Not relevant,Not relevant,,Not relevant,,3.7,,1.2,Luvisol,Not determined
