Site_ID,Latitude,Longitude,Elevation
AR-Lac,-29.26399994,-61.02799988,62.92
AT-Lan,47.06380081,10.96450043,1180
AT-Leu,47.37889862,11.16559982,1115
AT-Neu,47.1166687,11.31750011,970
AT-Sch,47.3669014,11.85420036,530
AU-Cas,-19.56669998,147.3999939,15
AU-Ctr,-16.10309982,145.4470062,80
AU-Da1,-14.13430023,131.3849945,-999.9
AU-Da2,-14.15929985,131.3880005,-999.9
AU-Fac,-36.8669014,147.345993,-999.9
AU-Fog,-12.54249954,131.3070068,-999.9
AU-How,-12.49429989,131.1519928,-999.9
AU-Jan,-30.07670021,144.1360016,150
AU-Meb,-37.73059845,145.0149994,60
AU-Otw,-38.53229904,142.8170013,-999.9
AU-Tum,-35.65570068,148.1519928,1200
AU-Vir,-19.88330078,146.5540009,200
AU-Wac,-37.42900085,145.1869965,545
BE-Bra,51.30920029,4.520559788,16
BE-Jal,50.56389999,6.073329926,500
BE-Lon,50.55220032,4.744939804,167
BE-Vie,50.30550003,5.996829987,450
BR-Afs,-23.32850075,-45.0931015,-999.9
BR-Ban,-9.824419975,-50.15909958,-999.9
BR-Bra,-0.723710001,-48.5080986,25
BR-Cax,-1.719720006,-51.45899963,-999.9
BR-Euc,-21.58349991,-47.60229874,-999.9
BR-Ji1,-10.76179981,-62.35720062,306
BR-Ji2,-10.08320045,-61.93090057,120
BR-Ji3,-10.0781002,-61.93310165,191
BR-Ma1,-2.58920002,-60.11489868,120
BR-Ma2,-2.609100103,-60.20930099,120
BR-Mtg,-11.41230011,-55.3246994,-999.9
BR-Pan,-14.84829998,-43.98799896,-999.9
BR-Res,-15.55000019,-47.59999847,-999.9
BR-Sa1,-2.856669903,-54.95890045,-999.9
BR-Sa2,-3.011899948,-54.53649902,-999.9
BR-Sa3,-3.018029928,-54.97140121,-999.9
BR-Sga,0.212329999,-66.76470184,100
BR-Sp1,-21.61949921,-47.64989853,690
BR-Sp2,-21.63710022,-47.79029846,520
BR-Su1,-15.94999981,-47.86669922,1104
BR-Su2,-15.94999981,-47.86669922,1104
BW-Ghg,-21.51000023,21.73999977,-999.9
BW-Ghm,-21.20000076,21.75,-999.9
BW-Ghz,-22.40920067,21.71310043,1131
BW-Ma1,-19.91550064,23.56049919,950
BW-Ma2,-19.60759926,23.28689957,-999.9
BW-Mkt,-19.92300034,23.59399986,900
BW-Pan,-18.65530014,25.50029945,-999.9
BW-Tsh,-24.16419983,21.89279938,1118
CA-Ca1,49.86719894,-125.3339996,300
CA-Ca2,49.87049866,-125.2910004,300
CA-Ca3,49.5345993,-124.9000015,-999.9
CA-Cbo,44.31669998,-79.9332962,120
CA-Cha,45.88470078,-67.35690308,341
CA-Fen,53.80210114,-104.6179962,-999.9
CA-Gro,48.21670151,-82.1556015,-999.9
CA-Let,49.70930099,-112.9400024,960
CA-Man,55.87960052,-98.48079681,259
CA-Mer,45.40940094,-75.51860046,70
CA-Na1,46.47219849,-67.09999847,341
CA-Na2,46.47579956,-67.07689667,-999.9
CA-NS1,55.87919998,-98.48390198,260
CA-NS2,55.90579987,-98.52469635,260
CA-NS3,55.9117012,-98.38220215,260
CA-NS4,55.9117012,-98.38220215,260
CA-NS5,55.86309814,-98.48500061,260
CA-NS6,55.91669846,-98.96440125,-999.9
CA-NS7,56.63579941,-99.94830322,-999.9
CA-NS8,55.89810181,-98.2161026,-999.9
CA-Oas,53.62889862,-106.197998,530
CA-Obs,53.98720169,-105.1179962,628.94
CA-Ojp,53.91630173,-104.6920013,579
CA-Qcu,49.26710129,-74.03649902,392.3
CA-Qfo,49.69250107,-74.34210205,382
CA-SF1,54.48500061,-105.8180008,536
CA-SF2,54.25389862,-105.8779984,520
CA-SF3,54.09159851,-106.0049973,540
CA-SJ1,53.90800095,-104.6559982,580
CA-SJ2,53.94499969,-104.6490021,580
CA-SJ3,53.87580109,-104.6449966,-999.9
CA-TP1,42.66090012,-80.55950165,265
CA-TP2,42.7743988,-80.45880127,212
CA-TP3,42.70679855,-80.34829712,184
CA-TP4,42.70980072,-80.35739899,184
CA-WP1,54.9538002,-112.4670029,540
CA-WP2,55.53749847,-112.3339996,-999.9
CA-WP3,54.47000122,-113.3199997,-999.9
CG-Hin, TBD, TBD,-999.9
CG-Kis, TBD, TBD,-999.9
CG-Tch,-4.289169788,11.65639973,-999.9
CH-Cha,47.20830154,8.408329964,-999.9
CH-Dav,46.81639862,9.856940269,-999.9
CH-Fru,47.11669922,8.533329964,-999.9
CH-Lae,47.47809982,8.364999771,689
CH-Oe1,47.28559875,7.732140064,450
CH-Oe2,47.28630066,7.734330177,452
CH-Seb,47.06669998,8.466670036,1025
CN-Anh,33,117,-999.9
CN-Bed,39.5306015,116.2519989,30
CN-Cha,42.40250015,128.095993,761
CN-Dan,30.85000038,91.08329773,4250
CN-Din,23.16670036,112.5329971,300
CN-Do1,31.51670074,121.9609985,-999.9
CN-Do2,31.58469963,121.9029999,-999.9
CN-Do3,31.51689911,121.9720001,-999.9
CN-Du1,42.04560089,116.6709976,1350
CN-Du2,42.04669952,116.2839966,1350
CN-Dwu,45.56010056,117,865
CN-Hab,37.59999847,101.3000031,3287.97
CN-HaM,37.36999893,101.1800003,3250
CN-Hny,29.30999947,112.5100021,-999.9
CN-Hug,49.32690048,120.0500031,-999.9
CN-Ku1,40.53829956,108.6940002,1020
CN-Ku2,40.38079834,108.5490036,1160
CN-Qia,26.73329926,115.0670013,100
CN-Xfs,44.13416672,116.3286133,-999.9
CN-Xi1,43.54583359,116.6777802,1250
CN-Xi2,43.5544014,116.6709976,1250
CN-Xsh,21.95000076,101.1999969,756
CN-Yuc,36.95000076,116.5999985,28
CN-Zha,39,100,1500
CR-Lin,11.01669979,-85.5,350
CR-Lse,10.42329979,-84.02110291,100
CR-Sro,10.81470013,-85.61499786,300
CZ-BK1,49.50260162,18.53840065,908
CZ-BK2,49.49530029,18.54470062,855
CZ-wet,49.02500153,14.77200031,420
DE-Bay,50.14189911,11.86690044,775
DE-Ber,47.61669922,12.58329964,1450
DE-Geb,51.10010147,10.91429996,161.5
DE-Gri,50.94950104,13.51249981,385
DE-Hai,51.07929993,10.45199966,430
DE-Har,47.93439865,7.600999832,201
DE-Kan,53.78329849,10.60000038,-999.9
DE-Kli,50.89289856,13.52250004,480
DE-Lei,51.32830048,10.36789989,440
DE-Meh,51.27529907,10.65550041,286
DE-Obe,50.7867012,13.72220039,-999.9
DE-Sch,47.59999847,12.9666996,-999.9
DE-Sol,51.76670074,9.583330154,500
DE-Tha,50.96360016,13.56690025,380
DE-Wet,50.45349884,11.45750046,785
DK-Eng, TBD, TBD,10
DK-Fou,56.48419952,9.587220192,51
DK-Lva,55.68330002,12.08329964,15
DK-Ri2,55.53329849,12.08829975,-999.9
DK-Ris,55.53030014,12.09720039,10
DK-Sor,55.48690033,11.64579964,40
DK-Sto,55.48329926,11.63329983,39
DK-Ulb,56.28329849,8.433329582,-999.9
ES-Agu,36.94060135,-2.032919884,-999.9
ES-Amo,36.83480072,-2.251140118,-999.9
ES-ES1,39.34600067,-0.318809986,10
ES-ES2,39.27550125,-0.315219998,10
ES-LJu,36.92819977,-2.750469923,1600
ES-LMa,39.94150162,-5.773359776,260
ES-VDA,42.15219879,1.448500037,1770
FI-Alk,62.1833992,22.78350067,-999.9
FI-Hyy,61.84740067,24.2947998,181
FI-Jok,60.89929962,23.5156002,104
FI-Kaa,69.14070129,27.29500008,155
FI-Kot,67.75,29.61669922,380
FI-Mat,67.98719788,24.24309921,-999.9
FI-Nuo,67.80000305,29.66670036,-999.9
FI-Sii,61.83300018,24.19300079,-999.9
FI-Sod,67.36190033,26.63780022,180
FI-Var,67.76670074,29.58329964,-999.9
FR-Aur,43.54940033,1.10777998,-999.9
FR-Avi,43.91640091,4.879169941,32
FR-Bil,44.4939003,-0.955940008,38
FR-Cou,44.75559998,-0.555559993,20
FR-Fon,48.47629929,2.780149937,90
FR-Gri,48.84400177,1.95243001,125
FR-Hes,48.67419815,7.064620018,300
FR-Lam,43.49330139,1.237220049,-999.9
FR-LBr,44.71709824,-0.769299984,61
FR-Lq1,45.64410019,2.737030029,1040
FR-Lq2,45.6391983,2.737030029,1040
FR-Lus,46.43330002,-0.466670007,-999.9
FR-Pue,43.74140167,3.595829964,270
GF-Guy,5.277699947,-52.92879868,35
GR-Mog,38,22.61669922,840
HU-Bug,46.69110107,19.60129929,140
HU-He1,46.95569229,16.65173531,248
HU-He2,46.95500946,16.6525631,-999.9
HU-Mat,47.84690094,19.72599983,350
ID-Buk,-0.833329976,117.0500031,20
ID-Pag,2.345000029,114.0360031,30
IE-Ca1,52.85879898,-6.918139935,50
IE-Ca2,55.85879898,-6.918139935,58.832
IE-CLa,52.95000076,-7.25,-999.9
IE-Dri,51.98669815,-8.751810074,187
IE-Kil,51.96839905,-9.900309563,150
IE-Wex,52.2981987,-6.499780178,70
IL-Yat,31.34499931,35.05149841,650
IS-Gun,63.83330154,-20.2166996,78
IT-Amp,41.90409851,13.60519981,884.231
IT-BCi,40.5237999,14.95740032,20
IT-Be1,46.00360107,13.02750015,-999.9
IT-Be2,46.00310135,13.02569962,-999.9
IT-Bon,39.47779846,16.53470039,1170
IT-Cas,45.06284714,8.668539047,-999.9
IT-Col,41.84939957,13.58810043,1550
IT-Cpz,41.7052002,12.37609959,68.253
IT-Lav,45.95529938,11.28120041,1353
IT-Lec,43.30459976,11.27060032,314
IT-LMa,45.58129883,7.154630184,350
IT-Mal,46.11669922,11.7027998,1730
IT-MBo,46.0155983,11.04669952,1550
IT-Neg,45.74760056,12.4467001,9
