site,yr
AT-Neu,2002
AT-Neu,2003
AT-Neu,2004
AU-Fog,2006
AU-Fog,2007
AU-How,2001
AU-How,2002
AU-How,2003
AU-How,2004
AU-How,2005
AU-How,2006
AU-Tum,2001
AU-Tum,2002
AU-Tum,2003
AU-Tum,2004
AU-Tum,2005
AU-Tum,2006
AU-Wac,2005
AU-Wac,2006
AU-Wac,2007
BE-Bra,1997
BE-Bra,1998
BE-Bra,2000
BE-Bra,2001
BE-Bra,2002
BE-Bra,2004
BE-Bra,2005
BE-Bra,2006
BE-Jal,2006
BE-Lon,2004
BE-Lon,2005
BE-Lon,2006
BE-Vie,1996
BE-Vie,1997
BE-Vie,1998
BE-Vie,1999
BE-Vie,2000
BE-Vie,2001
BE-Vie,2002
BE-Vie,2003
BE-Vie,2004
BE-Vie,2005
BE-Vie,2006
BR-Sa3,2000
BR-Sa3,2001
BR-Sa3,2002
BR-Sa3,2003
BW-Ghg,2003
BW-Ghm,2003
BW-Ma1,1999
BW-Ma1,2000
BW-Ma1,2001
CA-Man,1994
CA-Man,1995
CA-Man,1997
CA-Man,1998
CA-Man,1999
CA-Man,2000
CA-Man,2001
CA-Man,2002
CA-Man,2003
CA-Mer,1998
CA-Mer,1999
CA-Mer,2000
CA-Mer,2001
CA-Mer,2002
CA-Mer,2003
CA-Mer,2004
CA-Mer,2005
CA-NS1,2002
CA-NS1,2003
CA-NS1,2004
CA-NS1,2005
CA-NS2,2001
CA-NS2,2002
CA-NS2,2003
CA-NS2,2004
CA-NS2,2005
CA-NS3,2001
CA-NS3,2002
CA-NS3,2003
CA-NS3,2004
CA-NS3,2005
CA-NS4,2002
CA-NS4,2003
CA-NS4,2004
CA-NS5,2001
CA-NS5,2002
CA-NS5,2003
CA-NS5,2004
CA-NS5,2005
CA-NS6,2001
CA-NS6,2002
CA-NS6,2003
CA-NS6,2004
CA-NS6,2005
CA-NS7,2002
CA-NS7,2003
CA-NS7,2004
CA-NS7,2005
CA-Qcu,2001
CA-Qcu,2002
CA-Qcu,2003
CA-Qcu,2004
CA-Qcu,2005
CA-Qcu,2006
CA-Qfo,2003
CA-Qfo,2004
CA-Qfo,2005
CA-Qfo,2006
CA-SF1,2003
CA-SF1,2004
CA-SF1,2005
CA-SF2,2003
CA-SF2,2004
CA-SF2,2005
CA-SF3,2003
CA-SF3,2004
CA-SF3,2005
CH-Oe1,2002
CH-Oe1,2003
CH-Oe1,2004
CH-Oe1,2005
CH-Oe1,2006
CH-Oe2,2005
CZ-BK1,2000
CZ-BK1,2001
CZ-BK1,2002
CZ-BK1,2003
CZ-BK1,2004
CZ-BK1,2005
CZ-BK1,2006
CZ-wet,2006
DE-Bay,1996
DE-Bay,1997
DE-Bay,1998
DE-Bay,1999
DE-Geb,2004
DE-Geb,2005
DE-Geb,2006
DE-Gri,2005
DE-Gri,2006
DE-Hai,2000
DE-Hai,2001
DE-Hai,2002
DE-Hai,2003
DE-Hai,2004
DE-Hai,2005
DE-Hai,2006
DE-Kli,2004
DE-Kli,2005
DE-Kli,2006
DE-Meh,2003
DE-Meh,2004
DE-Meh,2005
DE-Meh,2006
DE-Tha,1996
DE-Tha,1997
DE-Tha,1998
DE-Tha,1999
DE-Tha,2000
DE-Tha,2001
DE-Tha,2002
DE-Tha,2003
DE-Tha,2004
DE-Tha,2005
DE-Tha,2006
DE-Wet,2002
DE-Wet,2003
DE-Wet,2004
DE-Wet,2005
DE-Wet,2006
DK-Fou,2005
DK-Lva,2005
DK-Lva,2006
DK-Ris,2004
DK-Ris,2005
DK-Sor,1996
DK-Sor,1997
DK-Sor,1998
DK-Sor,1999
DK-Sor,2000
DK-Sor,2001
DK-Sor,2002
DK-Sor,2003
DK-Sor,2004
DK-Sor,2005
DK-Sor,2006
ES-ES1,1999
ES-ES1,2000
ES-ES1,2001
ES-ES1,2002
ES-ES1,2003
ES-ES1,2004
ES-ES1,2005
ES-ES1,2006
ES-ES2,2004
ES-ES2,2005
ES-ES2,2006
ES-LMa,2004
ES-LMa,2005
ES-LMa,2006
ES-VDA,2004
ES-VDA,2005
ES-VDA,2006
FI-Hyy,1996
FI-Hyy,1997
FI-Hyy,1998
FI-Hyy,1999
FI-Hyy,2000
FI-Hyy,2001
FI-Hyy,2002
FI-Hyy,2003
FI-Hyy,2004
FI-Hyy,2005
FI-Hyy,2006
FI-Kaa,2000
FI-Kaa,2001
FI-Kaa,2002
FI-Kaa,2003
FI-Kaa,2004
FI-Kaa,2005
FI-Kaa,2006
FI-Sod,2000
FI-Sod,2001
FI-Sod,2002
FI-Sod,2003
FI-Sod,2004
FI-Sod,2005
FI-Sod,2006
FR-Fon,2005
FR-Fon,2006
FR-Gri,2005
FR-Gri,2006
FR-Hes,1997
FR-Hes,1998
FR-Hes,1999
FR-Hes,2000
FR-Hes,2001
FR-Hes,2002
FR-Hes,2003
FR-Hes,2004
FR-Hes,2005
FR-Hes,2006
FR-LBr,1996
FR-LBr,1997
FR-LBr,1998
FR-LBr,2000
FR-LBr,2003
FR-LBr,2004
FR-LBr,2005
FR-LBr,2006
FR-Lq1,2004
FR-Lq1,2005
FR-Lq1,2006
FR-Lq2,2004
FR-Lq2,2005
FR-Lq2,2006
FR-Pue,2000
FR-Pue,2001
FR-Pue,2002
FR-Pue,2003
FR-Pue,2004
FR-Pue,2005
